timestamp,rule_id,alert_message,classification,priority,protocol,source_ip,source_port,destination_ip,destination_port
02/20-23:00:30.418366,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:00:30.678324,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:00:30.937234,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:00:31.295215,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:01:31.477419,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:01:31.736341,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:01:31.996773,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:01:32.256566,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:01:36.691795,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:01:36.692888,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:01:36.692888,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:02:06.450077,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61804,239.255.255.250,1900
02/20-23:02:06.458335,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61810,239.255.255.250,1900
02/20-23:02:07.452033,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61804,239.255.255.250,1900
02/20-23:02:07.467392,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61810,239.255.255.250,1900
02/20-23:02:08.452120,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61804,239.255.255.250,1900
02/20-23:02:08.468101,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61810,239.255.255.250,1900
02/20-23:02:09.452766,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61804,239.255.255.250,1900
02/20-23:02:09.483787,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61810,239.255.255.250,1900
02/20-23:02:32.537706,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:02:32.796168,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:02:33.056179,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:02:33.315639,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:02:36.748772,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:02:36.750067,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:02:36.750067,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:03:33.595608,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:03:33.855152,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:03:34.182495,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:03:34.375494,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:03:36.805184,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:03:36.806323,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:03:36.806323,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:04:06.457888,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61816,239.255.255.250,1900
02/20-23:04:06.466929,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61822,239.255.255.250,1900
02/20-23:04:07.459624,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61816,239.255.255.250,1900
02/20-23:04:07.475390,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61822,239.255.255.250,1900
02/20-23:04:08.475479,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61822,239.255.255.250,1900
02/20-23:04:08.476962,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61816,239.255.255.250,1900
02/20-23:04:09.491144,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61822,239.255.255.250,1900
02/20-23:04:09.492655,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.2,61816,239.255.255.250,1900
02/20-23:04:34.664409,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:04:34.934485,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:04:35.207192,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:04:35.474210,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,33920,239.255.255.250,1900
02/20-23:04:36.866488,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:04:36.867337,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
02/20-23:04:36.867337,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.5,55967,239.255.255.250,1900
07/17-17:38:36.540419,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:38:36.809745,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:38:37.079773,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:38:37.350485,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:39:23.411431,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:39:28.404095,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61479,239.255.255.250,1900
07/17-17:39:28.406863,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61585,239.255.255.250,1900
07/17-17:39:29.416860,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61479,239.255.255.250,1900
07/17-17:39:29.416926,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61585,239.255.255.250,1900
07/17-17:39:30.426037,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61585,239.255.255.250,1900
07/17-17:39:30.426235,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61479,239.255.255.250,1900
07/17-17:39:31.436491,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61479,239.255.255.250,1900
07/17-17:39:31.436755,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,61585,239.255.255.250,1900
07/17-17:39:37.628283,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:39:37.888239,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:39:38.147535,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:39:38.407420,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:40:38.686084,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:40:38.946084,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:40:39.209359,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:40:39.465187,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:41:16.392265,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:16.486901,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:19.236635,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:21.398814,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:23.516601,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:27.997256,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:28.400740,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64309,239.255.255.250,1900
07/17-17:41:28.401921,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64315,239.255.255.250,1900
07/17-17:41:29.401528,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64309,239.255.255.250,1900
07/17-17:41:29.402418,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64315,239.255.255.250,1900
07/17-17:41:30.402025,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64309,239.255.255.250,1900
07/17-17:41:30.403312,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64315,239.255.255.250,1900
07/17-17:41:31.402321,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64309,239.255.255.250,1900
07/17-17:41:31.403290,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,64315,239.255.255.250,1900
07/17-17:41:36.754682,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:41:39.744553,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:41:40.003559,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:41:40.273815,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:41:40.545159,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:42:16.998961,1:527:8,BAD-TRAFFIC same SRC/DST,Potentially Bad Traffic],2,UDP,0.0.0.0,68,255.255.255.255,67
07/17-17:42:40.860693,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:42:41.091710,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:42:41.351512,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:42:41.679904,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:43:28.402885,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62150,239.255.255.250,1900
07/17-17:43:28.403830,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62156,239.255.255.250,1900
07/17-17:43:29.403578,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62150,239.255.255.250,1900
07/17-17:43:29.404526,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62156,239.255.255.250,1900
07/17-17:43:30.404672,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62156,239.255.255.250,1900
07/17-17:43:30.404675,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62150,239.255.255.250,1900
07/17-17:43:31.406574,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62150,239.255.255.250,1900
07/17-17:43:31.407033,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62156,239.255.255.250,1900
07/17-17:43:37.703455,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,50766,103.151.111.245,80
07/17-17:43:37.711738,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,50766,103.151.111.245,80
07/17-17:43:37.751470,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,50766,103.151.111.245,80
07/17-17:43:38.250331,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,49360,185.125.190.83,80
07/17-17:43:39.755006,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,49360,185.125.190.83,80
07/17-17:43:41.827561,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,49360,185.125.190.83,80
07/17-17:43:41.890094,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:43:41.827561,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,49360,185.125.190.83,80
07/17-17:43:41.827561,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,49360,185.125.190.83,80
07/17-17:43:41.827561,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,49360,185.125.190.83,80
07/17-17:43:42.149837,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:43:42.413190,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:43:42.668982,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:44:42.947856,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:44:43.207773,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:44:43.467509,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:44:43.727328,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:45:28.414050,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62140,239.255.255.250,1900
07/17-17:45:28.417563,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62146,239.255.255.250,1900
07/17-17:45:29.416233,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62140,239.255.255.250,1900
07/17-17:45:29.418494,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62146,239.255.255.250,1900
07/17-17:45:30.169897,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:30.417450,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62140,239.255.255.250,1900
07/17-17:45:30.419209,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62146,239.255.255.250,1900
07/17-17:45:31.419391,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62140,239.255.255.250,1900
07/17-17:45:31.419923,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,62146,239.255.255.250,1900
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:32.305705,1:2570:7,WEB-MISC Invalid HTTP Version String,Detection of a non-standard protocol or event],2,TCP,192.168.18.118,37738,103.151.111.245,80
07/17-17:45:44.113707,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:45:44.277414,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:45:44.587407,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:45:44.784941,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:46:45.073736,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:46:45.333172,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:46:45.593679,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:46:45.859674,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:47:28.416492,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54972,239.255.255.250,1900
07/17-17:47:28.421097,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54978,239.255.255.250,1900
07/17-17:47:29.418456,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54972,239.255.255.250,1900
07/17-17:47:29.422584,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54978,239.255.255.250,1900
07/17-17:47:30.420104,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54972,239.255.255.250,1900
07/17-17:47:30.422888,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54978,239.255.255.250,1900
07/17-17:47:31.420118,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54972,239.255.255.250,1900
07/17-17:47:31.422874,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54978,239.255.255.250,1900
07/17-17:47:46.137328,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:47:46.392215,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:47:46.650998,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:47:46.934718,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:48:47.189789,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:48:47.450961,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:48:47.709421,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:48:47.968529,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:49:28.400831,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55595,239.255.255.250,1900
07/17-17:49:28.401902,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55601,239.255.255.250,1900
07/17-17:49:29.401376,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55595,239.255.255.250,1900
07/17-17:49:29.404458,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55601,239.255.255.250,1900
07/17-17:49:30.403458,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55595,239.255.255.250,1900
07/17-17:49:30.406795,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55601,239.255.255.250,1900
07/17-17:49:31.404111,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55595,239.255.255.250,1900
07/17-17:49:31.408942,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,55601,239.255.255.250,1900
07/17-17:49:48.257540,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:49:48.527099,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:49:48.786978,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:49:49.048397,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:50:49.325304,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:50:49.611840,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:50:49.854830,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:50:50.129702,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:51:28.403054,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54159,239.255.255.250,1900
07/17-17:51:28.403596,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54165,239.255.255.250,1900
07/17-17:51:29.403836,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54159,239.255.255.250,1900
07/17-17:51:29.404487,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54165,239.255.255.250,1900
07/17-17:51:30.404463,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54159,239.255.255.250,1900
07/17-17:51:30.405096,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54165,239.255.255.250,1900
07/17-17:51:31.405283,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54159,239.255.255.250,1900
07/17-17:51:31.407036,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.45,54165,239.255.255.250,1900
07/17-17:51:50.413537,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
07/17-17:51:50.856640,1:1917:6,SCAN UPnP service discover attempt,Detection of a Network Scan],3,UDP,192.168.18.1,40286,239.255.255.250,1900
